exposure_months,credit_score,property_value,prior_losses,loss_ratio_history,location_risk,building_age_years,policy_type,underwriting_score
25,660.7953701937249,327543.2165315739,0,0.7055957708113647,Coastal,26.21563489980935,Condo,49.58240817228744
57,630.8302279044761,403056.19810836465,1,0.48055406975458903,Suburban,27.12914689928301,Homeowners,54.77548443577412
31,730.6912801388502,393126.69002924516,3,0.7786232483025578,Suburban,26.674373231292975,Homeowners,60.81246728706992
45,800.0571767332442,371080.2481436565,2,0.4600111268727267,Metro,17.703301064484776,Homeowners,52.98593170964811
36,666.5197257311645,254423.90543746395,2,0.5331639608574126,Metro,23.36202687706352,Homeowners,58.4381033670463
52,778.3329074320072,366015.471747295,0,0.6036270419788202,Coastal,34.11939457940794,Homeowners,45.81244962448851
28,773.0259692841083,328553.92082029756,2,0.36381209551353755,Metro,28.457294141279938,Homeowners,51.037136740110725
11,797.1330757045102,296031.7067056144,0,0.4822978726666175,Suburban,27.52652321287531,Renters,39.02468035942131
25,655.6563535841049,375788.8556854335,0,0.40842221433586035,Metro,27.07993288920842,Homeowners,44.979152566506954
47,678.5758533585865,280639.14828011073,0,0.7424461482479942,Coastal,29.509288327765596,Homeowners,47.72405741437486
46,804.820236088676,296895.18951632624,2,0.6078363940645037,Coastal,6.044758048996975,Homeowners,49.62823781915855
70,711.6530171247656,552782.3480553641,1,0.25255964543002607,Coastal,39.44072520044985,Homeowners,54.10427387034224
21,714.1212991375828,388117.4906056177,1,0.5046189176813284,Suburban,27.398820563485653,Renters,44.8603104662129
33,753.5418113695937,467529.282142145,0,0.5968080835927346,Coastal,21.175482982137897,Renters,45.06009862936163
68,748.2996091773363,308595.6932534693,3,0.7459300263928993,Metro,7.0348762350655365,Homeowners,61.55528266487306
13,684.7157187428822,313370.25342729635,1,0.4803299905397934,Metro,22.10637601339864,Homeowners,43.26093326589908
52,703.2429996501916,235127.34443853176,0,0.09870313255341308,Metro,18.8071248077501,Renters,42.679450417319984
69,749.9544822788027,234361.36997271894,0,0.4769924434490247,Metro,0.0,Condo,41.95873992026803
66,729.7597603201087,238868.0835522468,1,0.6681810074874956,Suburban,54.002715296346665,Renters,43.51341256856822
50,675.0886667895727,397202.6294230199,1,0.5135316554026393,Rural,9.366728278121773,Renters,49.06047600340685
64,785.2952211366477,268856.40863590024,0,0.3174353021502983,Suburban,37.46542415100332,Homeowners,41.37124529792003
19,761.887855144238,275010.7372737499,0,0.3975110851474209,Metro,17.330290222795796,Homeowners,38.41619831600624
55,697.821147694771,298340.4782110733,1,0.396925198002063,Coastal,18.05279050694879,Renters,46.14415987140274
50,685.0711467879372,417899.53245315445,1,0.7488379892389345,Suburban,29.313704143344538,Condo,48.13355123987774
39,765.9708900483056,317130.217595727,0,0.48089812573957047,Coastal,20.176157529525614,Condo,42.063190897962926
71,582.9898725396633,407672.6648870455,1,0.27944659713093284,Coastal,33.391079316515636,Renters,53.91505673916666
61,721.3232070957166,258881.3709579384,1,0.37260415924301277,Metro,20.619567449619538,Condo,42.61119320149331
19,682.9658667876132,406282.1151762041,1,0.6930735784682533,Metro,17.974326685318864,Renters,48.282058038089104
