claim_amount,claimant_age,num_prior_claims,time_since_last_claim,policy_tenure_years,suspicious_score,incident_state,submission_channel,fraudulent
8261.792699386078,67,2,10.887221195685354,11.545389796654387,0.10650407808000369,NY,Digital,1
4900.0397343987615,20,1,21.552442752992903,11.113141439901051,0.25824395272486916,TX,Agent,0
9376.127989516142,42,1,5.23560437126095,6.89877640335191,0.13647211642982993,CA,Agent,0
9851.411790978034,47,3,42.67147744523608,5.24406414334558,0.5772439229658015,CA,Agent,0
2622.412028365409,82,1,16.89180850472629,3.124683860799031,0.07782048893496657,NY,Agent,0
4244.551232844205,54,0,15.028279888715534,4.572574303394258,0.18851094786044598,NC,Agent,0
7819.601007918213,53,0,7.591191370264155,4.775259274531901,0.3557943741054687,NY,Agent,0
6709.393519141045,27,1,1.6695239984826569,4.2202524228548555,0.0927691571148709,TX,Agent,1
7457.997106239278,71,0,19.758606165956113,3.244986756776861,0.49912599001060015,CA,Call Center,0
5367.39018106605,40,2,22.34272131624998,7.204729762566135,0.4063939465299988,IL,Call Center,0
9698.494937157071,24,1,39.98245880876628,11.089919034426703,0.15991102962361212,IL,Agent,1
9444.479838572372,84,2,15.289038378146392,8.799770304690776,0.14644211566693577,IL,Agent,1
7665.076743903041,30,5,18.749148090502718,5.03273982518903,0.3807414720273375,NY,Agent,0
10318.103017420082,19,2,21.644655455655304,9.042086542802128,0.13954706714721324,CA,Agent,1
8668.773355630114,23,0,15.644026728133497,7.039952600516647,0.22989992513211227,OH,Call Center,0
5351.768842791905,48,0,7.541558428245655,5.877886947189472,0.820660119702119,IL,Agent,0
8421.876960206248,24,3,14.352020019181817,5.690631823057787,0.11556534913909643,NY,Call Center,1
5102.793497927502,74,0,3.6377969895093276,5.400179586035208,0.165920037837863,FL,Agent,0
9696.125753268181,52,1,3.4141411374297914,7.953198368211811,0.43347741363303965,CA,Call Center,0
7375.185222534367,39,5,50.754496084112525,6.419010246829264,0.0790343027571019,FL,Digital,1
7037.844091136849,18,0,3.804539377750656,3.81473160726903,0.48085626494405637,FL,Digital,0
5797.676138990147,50,0,10.938922459468559,3.669443672698945,0.46168537271428206,CA,Call Center,0
10556.353346685075,28,1,10.87410699372333,6.9177119438450045,0.10243869375417045,FL,Agent,0
7113.676294827995,83,0,13.889494296074881,7.285953647049825,0.3605819140853684,IL,Agent,1
6429.180444592232,37,1,65.07203697936144,5.060602067049647,0.215445578463114,NC,Agent,1
6619.666123779426,49,4,5.146495760183921,2.603983131761267,0.1823016604269796,TX,Call Center,0
8830.772963883372,19,1,0.6954993803713341,9.752895351255397,0.1975049250668814,FL,Call Center,0
8413.610160910195,26,1,7.772352129561296,9.115813828581302,0.09373753916390468,TX,Agent,1
